v1,v2,v3,output
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
0,0,0,False
0,0,1,True
0,1,0,True
0,1,1,True
1,0,0,True
1,0,1,True
1,1,0,True
1,1,1,True
